id,order_id,product_id,quantity,unit_price,discount_percentage
1,16,74,1,134.28,2.62
2,16,84,1,449.69,15.92
3,16,65,3,326.77,10.81
4,16,52,2,381.73,10.79
5,17,37,5,415.04,12.37
6,18,58,1,170.37,11.77
7,18,69,4,149.76,19.37
8,18,63,5,364.65,16.01
9,19,76,4,134.07,18.67
10,20,54,1,439.25,18.94
11,20,58,3,170.37,11.77
12,21,63,4,364.65,16.01
13,21,50,3,477.0,17.52
14,21,73,4,329.37,11.3
15,22,43,4,34.96,18.26
16,22,57,2,325.64,8.76
17,23,66,3,243.85,4.27
18,23,84,2,449.69,15.92
19,23,31,4,138.96,4.46
20,23,50,5,477.0,17.52
21,24,59,4,316.29,4.58
22,24,74,2,134.28,2.62
23,24,44,1,250.62,17.69
24,24,63,3,364.65,16.01
25,25,36,2,365.41,10.72
26,25,83,3,417.63,11.65
27,25,79,2,371.72,3.11
28,26,33,2,101.02,13.0
29,27,60,4,140.68,9.71
30,28,62,1,212.94,9.34
31,28,56,1,464.6,15.11
32,28,46,4,111.22,19.95
33,28,40,2,468.45,12.96
34,29,34,1,379.89,3.19
35,29,66,4,243.85,4.27
36,29,46,2,111.22,19.95
37,29,89,4,176.13,16.41
38,30,79,5,371.72,3.11
39,30,88,5,394.11,2.16
40,30,59,4,316.29,4.58
41,31,78,4,408.92,5.99
42,31,86,4,432.57,19.52
43,32,80,2,317.85,5.28
44,32,64,3,71.81,3.67
45,32,62,4,212.94,9.34
46,33,48,3,498.07,10.58
47,33,52,5,381.73,10.79
48,34,45,2,373.0,10.78
49,34,55,2,64.63,13.2
50,35,52,1,381.73,10.79
51,35,65,2,326.77,10.81
52,35,60,4,140.68,9.71
53,35,57,4,325.64,8.76
54,36,61,4,123.01,9.46
55,36,31,4,138.96,4.46
56,36,53,5,245.33,2.24
57,36,50,5,477.0,17.52
58,37,48,4,498.07,10.58
59,37,58,1,170.37,11.77
60,38,77,2,220.22,10.86
61,38,41,5,232.21,5.4
62,38,84,5,449.69,15.92
63,38,60,1,140.68,9.71
64,39,36,4,365.41,10.72
65,40,34,4,379.89,3.19
66,40,47,3,314.47,15.84
67,41,52,4,381.73,10.79
68,41,79,3,371.72,3.11
69,41,87,4,462.39,15.65
70,42,32,3,212.12,0.6
71,42,78,2,408.92,5.99
72,42,65,1,326.77,10.81
73,42,34,1,379.89,3.19
74,43,84,5,449.69,15.92
75,43,32,2,212.12,0.6
76,44,73,4,329.37,11.3
77,44,38,3,331.31,15.46
78,44,67,3,492.68,5.3
79,44,44,2,250.62,17.69
80,45,37,3,415.04,12.37
81,45,68,5,478.74,19.91
82,45,32,4,212.12,0.6
83,46,68,2,478.74,19.91
84,47,81,5,23.96,6.67
85,48,73,3,329.37,11.3
86,48,54,1,439.25,18.94
87,48,35,4,169.62,1.85
88,48,63,4,364.65,16.01
89,49,71,4,41.9,3.72
90,49,88,2,394.11,2.16
91,49,84,4,449.69,15.92
92,50,70,5,26.97,9.54
93,50,82,4,353.42,11.22
94,50,89,4,176.13,16.41
95,51,51,1,435.52,5.97
96,51,85,3,53.19,15.6
97,51,46,4,111.22,19.95
98,52,52,3,381.73,10.79
99,52,32,2,212.12,0.6
100,52,62,4,212.94,9.34
101,52,85,2,53.19,15.6
102,53,48,3,498.07,10.58
103,53,87,5,462.39,15.65
104,53,69,1,149.76,19.37
105,54,46,4,111.22,19.95
106,55,75,4,230.23,19.97
107,55,61,4,123.01,9.46
108,56,45,2,373.0,10.78
109,56,56,3,464.6,15.11
110,56,75,5,230.23,19.97
