id,customer_id,order_date,status,total_amount
16,210,2026-02-05T22:55:25,cancelled,2064.28
17,328,2026-07-28T13:43:41,shipped,1818.5
18,253,2026-02-01T05:46:44,shipped,2164.68
19,128,2026-02-24T22:14:35,shipped,436.16
20,31,2025-11-27T12:37:58,cancelled,807.01
21,191,2025-09-20T02:23:52,pending,3573.97
22,182,2026-07-19T02:31:04,cancelled,708.54
23,322,2025-10-09T12:00:17,shipped,3954.71
24,195,2025-12-03T12:08:24,delivered,2593.84
25,294,2026-05-28T12:05:20,cancelled,2479.73
26,132,2026-05-04T01:38:57,processing,175.77
27,274,2025-10-01T14:16:43,cancelled,508.08
28,325,2026-01-01T17:41:18,processing,1759.06
29,121,2026-06-25T11:14:46,cancelled,2068.49
30,302,2025-09-17T01:43:36,cancelled,4936.01
31,311,2026-06-02T09:56:15,delivered,2930.23
32,163,2026-06-21T11:02:56,processing,1581.87
33,70,2025-11-11T18:04:33,shipped,3038.83
34,72,2026-05-26T20:16:11,processing,777.78
35,63,2025-09-15T05:45:49,delivered,2619.97
36,330,2025-12-22T09:42:28,pending,4142.86
37,143,2025-10-17T05:34:17,delivered,1931.82
38,230,2026-03-02T06:54:42,shipped,3508.48
39,232,2025-12-25T14:20:14,cancelled,1304.95
40,100,2025-12-02T14:16:54,delivered,2265.06
41,139,2026-02-09T11:21:34,delivered,4002.75
42,160,2026-04-19T06:36:34,pending,2060.61
43,46,2026-05-30T00:19:40,processing,2312.19
44,153,2026-03-04T12:49:18,processing,3821.14
45,89,2026-05-05T09:01:18,processing,3851.6
46,234,2026-06-15T03:21:28,processing,766.85
47,83,2025-09-15T03:19:23,shipped,111.81
48,52,2026-05-18T20:42:47,shipped,3123.52
49,85,2026-05-11T12:48:40,delivered,2444.96
50,121,2025-12-17T15:00:34,cancelled,1965.97
51,254,2026-07-29T21:21:03,cancelled,900.33
52,155,2026-08-11T11:52:35,delivered,2305.3
53,212,2025-09-01T06:16:48,shipped,3407.0
54,295,2026-02-01T16:08:26,processing,356.13
55,281,2025-09-25T08:55:32,cancelled,1182.5
56,39,2026-08-14T11:04:04,pending,2770.05
57,219,2026-05-18T04:48:39,delivered,2537.98
58,169,2026-06-21T19:13:28,shipped,1702.15
59,305,2026-03-07T19:36:24,processing,1978.42
60,299,2025-12-18T16:20:10,cancelled,1933.03
61,122,2025-10-30T07:24:45,shipped,545.2
62,95,2026-07-10T03:28:26,shipped,1838.86
63,180,2026-03-22T03:17:32,processing,4880.95
64,205,2026-05-01T02:57:01,processing,1058.63
65,89,2026-07-08T16:05:33,pending,1660.86
66,186,2026-07-24T04:20:47,pending,2287.55
67,146,2026-04-17T12:15:51,cancelled,5018.88
68,61,2025-08-31T04:55:17,cancelled,720.32
69,139,2026-04-20T18:42:37,shipped,439.34
70,119,2026-04-17T23:29:19,cancelled,219.67
71,240,2025-08-20T11:03:34,delivered,1255.19
72,166,2025-11-20T20:51:01,cancelled,1311.77
73,107,2025-10-09T12:31:57,shipped,1436.27
74,322,2026-04-02T01:53:04,shipped,4389.84
75,283,2026-01-10T11:17:27,delivered,120.75
76,252,2026-07-22T01:28:03,shipped,3018.22
77,168,2025-11-10T21:16:12,cancelled,720.32
78,271,2026-05-05T20:49:23,cancelled,4042.46
79,209,2025-11-01T08:37:20,delivered,3150.29
80,284,2025-11-28T09:24:48,shipped,2800.03
81,196,2026-02-15T22:33:41,pending,4574.4
82,127,2025-10-15T04:13:37,cancelled,843.85
83,167,2026-02-21T12:42:08,cancelled,1017.79
84,93,2026-06-29T10:34:33,pending,1425.47
85,38,2025-10-29T00:42:43,cancelled,2329.95
86,286,2026-05-29T06:02:58,shipped,2390.15
87,313,2026-02-26T06:35:38,processing,1791.71
88,205,2025-12-05T02:47:17,cancelled,2358.68
89,281,2025-10-07T13:09:29,processing,4335.61
90,195,2025-11-02T11:36:09,processing,1157.54
91,53,2026-04-20T21:16:44,shipped,2041.78
92,95,2026-07-23T12:24:43,cancelled,1980.69
