id,order_id,amount,payment_date,method
1,17,1818.5,2026-07-28T13:43:41,cash
2,18,2164.68,2026-02-01T05:46:44,bank_transfer
3,19,436.16,2026-02-24T22:14:35,cash
4,20,807.01,2025-11-27T12:37:58,online
5,21,3573.97,2025-09-20T02:23:52,card
6,23,3954.71,2025-10-09T12:00:17,bank_transfer
7,24,2593.84,2025-12-03T12:08:24,card
8,26,175.77,2026-05-04T01:38:57,online
9,28,1759.06,2026-01-01T17:41:18,cash
10,30,4936.01,2025-09-17T01:43:36,online
11,31,2930.23,2026-06-02T09:56:15,bank_transfer
12,32,1581.87,2026-06-21T11:02:56,card
13,33,3038.83,2025-11-11T18:04:33,cash
14,34,777.78,2026-05-26T20:16:11,cash
15,35,2619.97,2025-09-15T05:45:49,cash
16,36,4142.86,2025-12-22T09:42:28,cash
17,37,1931.82,2025-10-17T05:34:17,online
18,38,3508.48,2026-03-02T06:54:42,card
19,39,1304.95,2025-12-25T14:20:14,cash
20,40,2265.06,2025-12-02T14:16:54,cash
21,41,4002.75,2026-02-09T11:21:34,bank_transfer
22,42,2060.61,2026-04-19T06:36:34,card
23,43,2312.19,2026-05-30T00:19:40,online
24,44,3821.14,2026-03-04T12:49:18,bank_transfer
25,45,3851.6,2026-05-05T09:01:18,bank_transfer
26,46,766.85,2026-06-15T03:21:28,online
27,47,111.81,2025-09-15T03:19:23,cash
28,48,3123.52,2026-05-18T20:42:47,cash
29,49,2444.96,2026-05-11T12:48:40,card
30,50,1965.97,2025-12-17T15:00:34,bank_transfer
31,52,2305.3,2026-08-11T11:52:35,bank_transfer
32,53,3407.0,2025-09-01T06:16:48,online
33,54,356.13,2026-02-01T16:08:26,cash
34,56,2770.05,2026-08-14T11:04:04,cash
35,57,2537.98,2026-05-18T04:48:39,cash
36,58,1702.15,2026-06-21T19:13:28,card
37,59,1978.42,2026-03-07T19:36:24,card
38,61,545.2,2025-10-30T07:24:45,online
39,62,1838.86,2026-07-10T03:28:26,bank_transfer
40,63,4880.95,2026-03-22T03:17:32,cash
41,64,1058.63,2026-05-01T02:57:01,bank_transfer
42,65,1660.86,2026-07-08T16:05:33,bank_transfer
43,66,2287.55,2026-07-24T04:20:47,card
44,69,439.34,2026-04-20T18:42:37,online
45,71,1255.19,2025-08-20T11:03:34,online
46,73,1436.27,2025-10-09T12:31:57,online
47,74,4389.84,2026-04-02T01:53:04,online
48,75,120.75,2026-01-10T11:17:27,card
49,76,3018.22,2026-07-22T01:28:03,cash
50,78,4042.46,2026-05-05T20:49:23,card
51,79,3150.29,2025-11-01T08:37:20,cash
52,80,2800.03,2025-11-28T09:24:48,online
53,81,4574.4,2026-02-15T22:33:41,online
54,82,843.85,2025-10-15T04:13:37,online
55,84,1425.47,2026-06-29T10:34:33,online
56,85,2329.95,2025-10-29T00:42:43,cash
57,86,2390.15,2026-05-29T06:02:58,card
58,87,1791.71,2026-02-26T06:35:38,online
59,88,2358.68,2025-12-05T02:47:17,cash
60,89,4335.61,2025-10-07T13:09:29,online
61,90,1157.54,2025-11-02T11:36:09,online
62,91,2041.78,2026-04-20T21:16:44,cash
63,93,942.36,2025-09-20T19:37:16,bank_transfer
64,94,2549.15,2026-03-05T21:05:28,cash
65,95,1243.47,2026-07-16T06:02:55,card
66,96,360.16,2026-05-25T06:15:36,bank_transfer
67,97,1631.3,2026-06-04T10:06:40,cash
68,98,2949.33,2025-11-08T13:09:18,online
69,100,3494.88,2026-02-02T00:54:46,card
70,101,3804.35,2025-09-12T11:41:19,online
71,102,3104.26,2026-02-23T22:20:28,bank_transfer
72,103,3858.13,2026-03-21T23:15:19,online
73,104,1842.12,2026-04-11T17:43:31,card
74,105,1192.99,2025-11-06T08:34:01,cash
75,106,2054.89,2026-05-20T02:21:34,cash
76,108,815.48,2025-09-01T10:31:45,card
77,110,2985.48,2026-05-11T13:13:19,online
78,111,1768.02,2025-11-27T12:47:38,online
79,112,2184.91,2026-04-12T13:52:03,card
80,113,4288.93,2026-01-12T01:19:48,cash
81,114,2800.47,2026-04-19T10:21:37,online
82,115,392.29,2026-04-01T03:06:03,bank_transfer
83,116,1183.2,2025-11-16T12:28:40,card
84,117,3381.45,2026-04-22T00:41:58,bank_transfer
85,118,1588.61,2025-12-30T18:55:23,bank_transfer
86,119,1980.17,2026-02-21T10:08:51,cash
87,120,870.58,2026-03-11T09:01:28,card
88,121,1546.2,2026-04-29T11:54:06,online
89,122,445.49,2025-10-26T07:05:22,online
90,123,1509.02,2026-07-24T07:17:34,cash
91,125,1471.09,2026-07-09T20:35:03,online
92,126,772.21,2025-11-15T10:10:15,cash
93,127,2297.13,2026-07-23T04:43:25,online
94,129,224.46,2026-05-03T18:45:14,cash
95,130,4420.26,2026-02-21T17:51:17,online
96,131,1998.99,2026-02-23T17:58:05,cash
97,132,150.32,2026-06-22T18:58:51,cash
98,133,1917.11,2026-04-19T01:03:00,online
99,134,891.34,2026-01-16T16:25:51,online
100,135,3287.07,2026-04-06T13:03:38,cash
101,136,2881.83,2026-01-03T01:26:28,cash
102,137,3265.97,2026-03-16T09:44:51,cash
103,138,1888.88,2026-02-20T03:37:53,bank_transfer
104,139,3371.62,2025-12-10T02:15:23,card
105,140,1631.19,2025-09-23T20:31:23,online
106,141,4281.31,2025-11-10T09:20:55,bank_transfer
107,142,1458.51,2025-09-30T00:06:30,bank_transfer
108,143,2590.52,2026-07-25T11:18:23,cash
109,144,2459.89,2026-07-31T15:43:17,card
110,145,515.15,2026-06-06T13:30:56,online
111,146,1472.61,2026-06-10T01:10:25,bank_transfer
